T3 Mechanical - Role-Based Access Control (RBAC) Matrix,,,,
,,,,
,,,,
Scope Document Role,System Role,Code Reference,,
"Executive: + ""Add Vehicle"", ""Delete Vehicle"", ""View Costs"", ""Edit All"", ""Fleet Analytics""",,,,
,,,,
6. TASK MANAGEMENT & DISPATCH,,,,
6.1 Task Management System,,,,
Feature,Technician,Manager,Executive,Notes
Task Viewing,,,,
View All Tasks,❌ None,✅ All,✅ All,
View Tasks Assigned to Me,✅ Yes,✅ Yes,✅ Yes,
View Tasks Assigned by Me,❌ None,✅ Yes,✅ Yes,
View Past Tasks,✅ Own,✅ All,✅ All,
View Completed Tasks,✅ Own,✅ All,✅ All,
Task Management,,,,
Create Manual Task,❌ None,✅ Yes,✅ Yes,
Create Automated Task,❌ System,✅ System,✅ System,System-generated
Assign Task,❌ None,✅ Yes,✅ Yes,
Edit Task,❌ None,✅ Pending,✅ All,
Delete Task,❌ None,✅ Own,✅ All,
Set Priority,❌ None,✅ Yes,✅ Yes,High/medium/low
Set Due Date,❌ None,✅ Yes,✅ Yes,
Add Task Notes,✅ Response,✅ Yes,✅ Yes,
Task Status,,,,
Mark as In Progress,✅ Assigned,✅ Yes,✅ Yes,
Mark as Complete,✅ Assigned,✅ Yes,✅ Yes,
Mark as Blocked,✅ With Note,✅ Yes,✅ Yes,
Reopen Task,❌ None,✅ Yes,✅ Yes,
Task Filtering,,,,
Filter by Status,✅ Own,✅ All,✅ All,
Filter by Priority,✅ Own,✅ All,✅ All,
Filter by Assignee,❌ None,✅ Yes,✅ Yes,
Filter by Date,✅ Own,✅ All,✅ All,
Overdue Tasks,,,,
View Overdue Tasks,✅ Own,✅ All,✅ All,Highlighted
Receive Overdue Alerts,✅ Yes,✅ Yes,✅ Yes,
Escalate Overdue,❌ Receive,✅ Trigger,✅ Manage,Auto-escalation
Task Search,,,,
Search Own Tasks,✅ Yes,✅ Yes,✅ Yes,
Search All Tasks,❌ None,✅ Yes,✅ Yes,Robust search
Task Analytics,,,,
View Own Performance,✅ View,✅ View,✅ View,Completion rate
View Team Performance,❌ None,✅ View,✅ Full,
,,,,
UI Elements/Buttons:,,,,
,,,,
"Technician: ""My Tasks"", ""Mark Complete"", ""Add Note"", ""View Overdue"", Filter (Own)",,,,
"Manager: + ""Create Task"", ""Assign"", ""Set Priority"", ""View All"", ""Team Performance"", ""Search All"", Filter (All)",,,,
"Executive: + ""Delete Any"", ""Reassign"", ""Override"", ""Full Analytics""",,,,
,,,,
6.2 Dispatch System,,,,
Feature,Technician,Manager,Executive,Notes
Daily Dispatch,,,,
View Daily Dispatch,✅ Own,✅ All,✅ All,
View Future Dispatch,✅ Own,✅ All,✅ All,
Create Dispatch,❌ None,✅ Yes,✅ Yes,
Edit Dispatch,❌ None,✅ Pending,✅ All,Before 6 PM
Delete Dispatch,❌ None,✅ Pending,✅ All,
Dispatch Assignment,,,,
Select Active Job,❌ None,✅ Yes,✅ Yes,
Assign Users/Technicians,❌ None,✅ Yes,✅ Yes,Multiple per job
Set Arrival Time,❌ None,✅ Yes,✅ Yes,
Add Detailed Notes,❌ None,✅ Yes,✅ Yes,
Conflict Prevention,,,,
View Employee Schedule,❌ Own,✅ All,✅ All,
Conflict Detection,❌ N/A,✅ Auto,✅ Auto,Algorithm-based
Override Conflicts,❌ None,❌ None,✅ Yes,Executive only
Dispatch Delivery,,,,
Queue for 6 PM Delivery,❌ N/A,✅ Auto,✅ Auto,Next day
Immediate Delivery,❌ N/A,✅ After Hours,✅ Any Time,Emergency
Dispatch Confirmation,,,,
Receive Dispatch,✅ Auto,✅ Auto,✅ Auto,
Confirm Dispatch,✅ Required,✅ Yes,✅ Yes,
Decline Dispatch,✅ With Reason,✅ Yes,✅ Yes,
View Confirmation Status,❌ None,✅ All,✅ All,
Calendar Integration,,,,
View Calendar,✅ Own,✅ All,✅ All,
Sync Google Calendar,✅ Own,✅ Team,✅ All,
Track Employee Location,❌ None,✅ View,✅ View,Via calendar
View Employee Schedule,✅ Own,✅ All,✅ All,
Dispatch Notifications,,,,
Receive Assignment,✅ Yes,✅ Yes,✅ Yes,Push notification
Receive Changes,✅ Yes,✅ Yes,✅ Yes,
Receive Cancellations,✅ Yes,✅ Yes,✅ Yes,
,,,,
UI Elements/Buttons:,,,,
,,,,
"Technician: ""Today's Dispatch"", ""Confirm"", ""Decline"", ""View Calendar"", ""View Details""",,,,
"Manager: + ""Create Dispatch"", ""Select Job"", ""Assign Technicians"", ""Set Time"", ""Add Notes"", ""View All Schedules"", ""Queue Delivery""",,,,
"Executive: + ""Override Conflict"", ""Immediate Send"", ""Reassign"", ""View All Confirmations""",,,,
,,,,
7. INVENTORY & MATERIALS,,,,
7.1 Material & Inventory Management,,,,
Feature,Technician,Manager,Executive,Notes
Inventory Viewing,,,,
View Central Inventory,✅ View,✅ Full,✅ Full,
View Item Details,✅ View,✅ Full,✅ Full,
Search Inventory,✅ Yes,✅ Yes,✅ Yes,
Filter by Category,✅ Yes,✅ Yes,✅ Yes,
Inventory Management,,,,
Add New Item,❌ None,✅ Yes,✅ Yes,
Edit Item,❌ None,✅ Yes,✅ Yes,
Delete Item,❌ None,❌ None,✅ Yes,Executive only
Item Information,,,,
View Name,✅ Yes,✅ Yes,✅ Yes,
View Description,✅ Yes,✅ Yes,✅ Yes,
View Quantity on Hand,✅ Yes,✅ Yes,✅ Yes,
View Cost,❌ None,✅ View,✅ Full,
Edit Cost,❌ None,✅ Yes,✅ Yes,
View Supplier Info,✅ View,✅ Full,✅ Full,
Set Reorder Point,❌ None,✅ Yes,✅ Yes,
Item Selection for Bids,,,,
Select Items for Quotes,❌ None,✅ Yes,✅ Yes,
Auto-Fill Description,❌ N/A,✅ Auto,✅ Auto,
Auto-Fill Cost,❌ N/A,✅ Auto,✅ Auto,
Auto-Fill Markup %,❌ N/A,✅ Auto,✅ Auto,
On-Order Tracking,,,,
View On-Order Items,✅ Job,✅ All,✅ All,
View Originating Job,✅ Assigned,✅ All,✅ All,
View Vendor Name,✅ Yes,✅ Yes,✅ Yes,
View Cost,❌ None,✅ View,✅ Full,
View Bill Due Date,❌ None,✅ View,✅ Full,
View Estimated Receive Date,✅ Yes,✅ Yes,✅ Yes,
Mark as Received,✅ Confirm,✅ Yes,✅ Yes,Updates inventory
Inventory Updates,,,,
Auto-Update Quantity,✅ N/A,✅ Auto,✅ Auto,When marked received
Manual Quantity Adjustment,❌ None,✅ Yes,✅ Yes,With note
Reorder Management,,,,
View Reorder Alerts,❌ None,✅ View,✅ View,
Set Reorder Point,❌ None,✅ Yes,✅ Yes,
Create Purchase Order,❌ None,✅ Yes,✅ Yes,
Automated Purchasing,❌ N/A,✅ Optional,✅ Manage,Workflow setup
,,,,
UI Elements/Buttons:,,,,
,,,,
"Technician: ""View Inventory"", Search, ""Confirm Receipt"", ""View On-Order (My Jobs)""",,,,
"Manager: + ""Add Item"", ""Edit Item"", ""Set Reorder Point"", ""Create PO"", ""Adjust Quantity"", ""View All On-Order"", ""Reorder Alerts""",,,,
"Executive: + ""Delete Item"", ""Override"", ""View Costs"", ""Setup Auto-Purchase""",,,,
,,,,
8. Invoicing & Payment Management,,,,
Feature,Technician,Manager,Executive,Notes
Invoice Generation,,,,
View Invoices,❌ None,✅ All,✅ All,
Create Invoice,❌ None,✅ Yes,✅ Yes,
Edit Invoice,❌ None,✅ Draft,✅ All,
Delete Invoice,❌ None,✅ Draft,✅ All,
Send Invoice,❌ None,✅ Yes,✅ Yes,From job profile
Payment Recording,,,,
Record Payment,❌ None,✅ Yes,✅ Yes,
Record Partial Payment,❌ None,✅ Yes,✅ Yes,
Set Payment Method,❌ None,✅ Yes,✅ Yes,Multiple methods
View Payment History,❌ None,✅ View,✅ Full,
Payment Plans,,,,
Create Payment Plan,❌ None,✅ Yes,✅ Yes,
Edit Payment Plan,❌ None,✅ Yes,✅ Yes,
Track Payment Plan,❌ None,✅ View,✅ View,
Task Assignment,,,,
Assign Invoice Reminder Tasks,❌ None,✅ Yes,✅ Yes,To admin staff
View Invoice Tasks,❌ Assigned,✅ All,✅ All,
Complete Invoice Task,✅ Assigned,✅ Yes,✅ Yes,
Aging Reports,,,,
Generate Aging Report,❌ None,✅ Yes,✅ Yes,Outstanding invoices
View Days Overdue,❌ None,✅ View,✅ View,
Filter by Age,❌ None,✅ Yes,✅ Yes,30/60/90+ days
Export Aging Report,❌ None,✅ Yes,✅ Yes,
,,,,
UI Elements/Buttons:,,,,
,,,,
Technician: None,,,,
"Manager: ""Create Invoice"", ""Send Invoice"", ""Record Payment"", ""Aging Report"", ""Assign Reminder"", ""Export""",,,,
"Executive: + ""Edit Any"", ""Delete Any"", ""Full Reconciliation""",,,,
,,,,
9. DOCUMENT MANAGEMENT,,,,
Feature,Technician,Manager,Executive,Notes
Document Access,,,,
View Documents,✅ Job-Related,✅ All,✅ All,
Search Documents,✅ Limited,✅ Full,✅ Full,
Filter Documents,✅ Limited,✅ Yes,✅ Yes,
Document Operations,,,,
Upload Documents,✅ Job-Related,✅ Yes,✅ Yes,
Download Documents,✅ Authorized,✅ Yes,✅ Yes,
Edit Documents,❌ None,✅ Own,✅ All,
Delete Documents,❌ None,✅ Own,✅ All,
